set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
0 0 100
0 0.1 100
0 0.2 100
0 0.3 100
0 0.4 100
0 0.5 100
0 0.6 100
0 0.7 100
0 0.8 100
0 0.9 100
0 1 100
0 1.1 100
0 1.2 100
0 1.3 100
0 1.4 100
0 1.5 100
0 1.6 100
0 1.7 100
0 1.8 100
0 1.9 100
0 2 100

0.1 0 0
0.1 0.1 25.5
0.1 0.2 31.875
0.1 0.3 33.4688
0.1 0.4 33.8672
0.1 0.5 33.9668
0.1 0.6 33.9917
0.1 0.7 33.9979
0.1 0.8 33.9995
0.1 0.9 33.9999
0.1 1 34
0.1 1.1 34
0.1 1.2 34
0.1 1.3 34
0.1 1.4 34
0.1 1.5 34
0.1 1.6 34
0.1 1.7 34
0.1 1.8 34
0.1 1.9 33.75
0.1 2 0

0.2 0 0
0.2 0.1 6.875
0.2 0.2 10.1875
0.2 0.3 11.4141
0.2 0.4 11.8203
0.2 0.5 11.9468
0.2 0.6 11.9846
0.2 0.7 11.9956
0.2 0.8 11.9988
0.2 0.9 11.9997
0.2 1 11.9999
0.2 1.1 12
0.2 1.2 12
0.2 1.3 12
0.2 1.4 12
0.2 1.5 12
0.2 1.6 12
0.2 1.7 12
0.2 1.8 12
0.2 1.9 11.6875
0.2 2 0

0.3 0 0
0.3 0.1 2.21875
0.3 0.2 3.60156
0.3 0.3 4.25391
0.3 0.4 4.51855
0.3 0.5 4.61633
0.3 0.6 4.65024
0.3 0.7 4.66147
0.3 0.8 4.66506
0.3 0.9 4.66618
0.3 1 4.66652
0.3 1.1 4.66662
0.3 1.2 4.66665
0.3 1.3 4.66666
0.3 1.4 4.66667
0.3 1.5 4.66667
0.3 1.6 4.66667
0.3 1.7 4.66667
0.3 1.8 4.66667
0.3 1.9 4.33854
0.3 2 0

0.4 0 0
0.4 0.1 1.05469
0.4 0.2 1.66406
0.4 0.3 1.97949
0.4 0.4 2.12451
0.4 0.5 2.18521
0.4 0.6 2.20886
0.4 0.7 2.21758
0.4 0.8 2.22066
0.4 0.9 2.22171
0.4 1 2.22206
0.4 1.1 2.22217
0.4 1.2 2.22221
